iter	RMSE
749	0.1476750851
750	0.1476595608
751	0.147635583
752	0.1476060307
753	0.1475647519
754	0.1475336086
755	0.1474992752
756	0.1474737883
757	0.1474482351
758	0.1474289634
759	0.1473895834
760	0.1473522612
761	0.1473224154
762	0.1472797542
763	0.1472442673
764	0.1472148887
765	0.1471832876
766	0.1471682006
767	0.1471436482
768	0.1471104349
769	0.1470833886
770	0.1470553272
771	0.1470242978
772	0.1469876192
773	0.1469487668
774	0.1469177433
775	0.1468836202
776	0.1468607838
777	0.1468487249
778	0.1468295908
779	0.1468118821
780	0.1467768397
781	0.1467648452
782	0.1467425411
783	0.1467199399
784	0.146699431
785	0.1466725159
786	0.1466493663
787	0.1466099275
788	0.1465898778
789	0.1465643967
790	0.1465371254
791	0.1465070887
792	0.146475445
793	0.146437978
794	0.1463886215
795	0.1463677242
796	0.1463414248
797	0.1463278958
798	0.1463120438
799	0.1462790136
800	0.1462669111
801	0.1462275538
802	0.1462000852
803	0.1461763942
804	0.1461457302
805	0.1461295489
806	0.1460948422
807	0.1460685151
808	0.1460269499
809	0.1460054344
810	0.1459723176
811	0.1459484792
812	0.1459284664
813	0.1458989049
814	0.1458873415
815	0.1458653189
816	0.1458417339
817	0.1458165515
818	0.1457957036
819	0.1457520968
820	0.1457304508
821	0.1456870069
822	0.1456717287
823	0.1456466313
824	0.1456138495
825	0.1455868626
826	0.1455626653
827	0.1455475427
828	0.1455216408
829	0.1454909049
830	0.1454711109
831	0.1454344487
832	0.1454000839
833	0.1453712228
834	0.1453423409
835	0.14532162
836	0.1452888649
837	0.1452583096
838	0.1452358673
839	0.1452108734
840	0.1451739154
841	0.1451501591
842	0.1450987798
843	0.1450673078
844	0.145037122
845	0.1450139704
846	0.1449924865
847	0.1449549232
848	0.1449144184
849	0.1448693567
850	0.1448475558
851	0.1448213315
852	0.144784709
853	0.1447717259
854	0.144750757
855	0.1447058824
856	0.1446797106
857	0.1446506845
858	0.1446100993
859	0.1445800586
860	0.144565928
861	0.1445412831
862	0.1445090593
863	0.14448954
864	0.1444655122
865	0.1444317316
866	0.1444101353
867	0.144383355
868	0.1443606273
869	0.1443353749
870	0.1443100052
871	0.1442809451
872	0.144255073
873	0.1442209125
874	0.1441961713
875	0.1441605383
876	0.1441336111
877	0.144109953
878	0.1440940851
879	0.1440706542
880	0.144050523
881	0.1440254165
882	0.1440030426
883	0.1439749647
884	0.1439512045
885	0.1439232269
886	0.1438988826
887	0.1438619186
888	0.1438255169
889	0.1437987006
890	0.1437703445
891	0.1437419727
892	0.1437300852
893	0.143682257
894	0.1436524603
895	0.1436208325
896	0.1435986015
897	0.1435659844
898	0.1435445103
899	0.1435324479
900	0.1434943198
901	0.1434505118
902	0.1434334097
903	0.1434139395
904	0.1433873763
905	0.1433736741
906	0.1433546025
907	0.1433312939
908	0.1432941387
909	0.1432624018
910	0.1432471051
911	0.1432134957
912	0.1431956874
913	0.143170465
914	0.1431506097
915	0.1431215634
916	0.1431044575
917	0.143092048
918	0.1430722238
919	0.1430588266
920	0.1430405877
921	0.1430236792
922	0.1430022797
923	0.1429849737
924	0.1429545823
925	0.1429436414
926	0.1429286843
927	0.1429061976
928	0.1428641672
929	0.1428356194
930	0.142806572
931	0.1427884585
932	0.1427673184
933	0.1427528302
934	0.1427375036
935	0.1427117388
936	0.1426861139
937	0.1426529754
938	0.1426332638
939	0.1426050288
940	0.1425659901
941	0.1425444249
942	0.1425243726
943	0.1424971681
944	0.142470699
945	0.1424451585
946	0.1424253203
947	0.1423984427
948	0.1423814869
949	0.1423447438
950	0.1423285956
951	0.1423067574
952	0.1422862503
953	0.1422718684
954	0.1422486827
955	0.1422278067
956	0.142201459
957	0.142170413
958	0.1421546294
959	0.1421373658
960	0.1421173837
961	0.14208951
962	0.1420631995
963	0.1420260118
964	0.1420023255
965	0.1419804174
966	0.141967355
967	0.1419508223
968	0.1419198639
969	0.1418863471
970	0.1418596894
971	0.1418414537
972	0.1418157104
973	0.1418036827
974	0.1417908767
975	0.1417645906
976	0.1417443147
977	0.141726874
978	0.1417020574
979	0.141675911
980	0.141646657
981	0.1416314502
982	0.1415904548
983	0.1415699044
984	0.141540836
985	0.1415259934
986	0.1414962597
987	0.1414765789
988	0.1414335316
989	0.1414167287
990	0.1413858545
991	0.1413626386
992	0.1413420446
993	0.1413157493
994	0.1413020203
995	0.1412915922
996	0.141267869
997	0.1412523415
998	0.1412390805
999	0.1412245663
