iter	RMSE
0	0.5184694856
1	0.5082455976
2	0.4979940129
3	0.4881437038
4	0.4786806802
5	0.4695067496
6	0.460369752
7	0.4518484025
8	0.4433664227
9	0.4355758352
10	0.4277718144
11	0.4201924959
12	0.4129425289
13	0.4058304122
14	0.3993064946
15	0.3929513974
16	0.3866432908
17	0.3806271764
18	0.3744538761
19	0.3686127242
20	0.3632756931
21	0.3579689074
22	0.3528287706
23	0.3476630835
24	0.3429859041
25	0.3384531034
26	0.3339516497
27	0.3296500343
28	0.3252134687
29	0.321265701
30	0.3172524011
31	0.3133616516
32	0.3093872008
33	0.30582333
34	0.3019190696
35	0.2983554686
36	0.2951001268
37	0.2918993883
38	0.2889339262
39	0.2858291501
40	0.2828714145
41	0.2799305743
42	0.2772632355
43	0.2748458753
44	0.2723423841
45	0.2698861385
46	0.267292057
47	0.2647196448
48	0.2621137158
49	0.2600927747
50	0.2580446859
51	0.2561621686
52	0.2541934596
53	0.2522347601
54	0.2503814899
55	0.2483211745
56	0.2465768003
57	0.2449448946
58	0.2430773705
59	0.2415498211
60	0.2398517135
61	0.2382071361
62	0.2367994892
63	0.2354515307
64	0.2339670467
65	0.2326285029
66	0.2313519975
67	0.230140409
68	0.2289870572
69	0.2275469392
70	0.2263812447
71	0.2253055573
72	0.2243777947
73	0.2234181693
74	0.2221766831
75	0.2212252637
76	0.2203842308
77	0.2194627019
78	0.2186515917
79	0.2178289881
80	0.2171035195
81	0.2163264998
82	0.2154497544
83	0.2143765777
84	0.2136552645
85	0.2129566246
86	0.2122670818
87	0.2114028471
88	0.2107783655
89	0.2101774267
90	0.2093532111
91	0.2084096994
92	0.207679472
93	0.2070593449
94	0.206396393
95	0.2056667512
96	0.2050647484
97	0.2045436627
98	0.2036985105
99	0.2032421229
100	0.2026469855
101	0.2021349543
102	0.2016944153
103	0.2013048738
104	0.2008962816
105	0.2004454515
106	0.2000310588
107	0.1994747619
108	0.1990252085
109	0.1985641591
110	0.1979525175
111	0.1975696918
112	0.1972750372
113	0.196966935
114	0.196650112
115	0.1963480383
116	0.1960638524
117	0.195643378
118	0.195296567
119	0.1950310801
120	0.1946876849
121	0.194377622
122	0.1940494418
123	0.1937197321
124	0.1934620729
125	0.1932334138
126	0.1929340046
127	0.1926859241
128	0.1923171704
129	0.1918039071
130	0.1915360937
131	0.1912700341
132	0.1910631141
133	0.1907772578
134	0.1905483843
135	0.1902043983
136	0.1899842156
137	0.1897652343
138	0.1895484699
139	0.1893483376
140	0.1889781521
141	0.1887416001
142	0.1885636911
143	0.1883173449
144	0.1878592599
145	0.1876541807
146	0.1874563693
147	0.187037843
148	0.1867614851
149	0.1864179013
150	0.1861859869
151	0.1859058343
152	0.1857175041
153	0.1855163213
154	0.1852494412
155	0.1849622018
156	0.1846966904
157	0.1845641085
158	0.184379012
159	0.1842521079
160	0.1839524055
161	0.1837370487
162	0.1834187646
163	0.1832020799
164	0.1830154448
165	0.1828054179
166	0.1826606407
167	0.1825190854
168	0.1823867521
169	0.1821999484
170	0.1818980014
171	0.1816540923
172	0.1813853736
173	0.1811972156
174	0.1810633058
175	0.1809461957
176	0.1808557466
177	0.1807498565
178	0.1806237027
179	0.1804780648
180	0.1803674909
181	0.1802117738
182	0.1800993123
183	0.1799702461
184	0.1798652335
185	0.1797395968
186	0.1796251583
187	0.1794692566
188	0.179273787
189	0.1791849563
190	0.1790553099
191	0.1787378381
192	0.1785860916
193	0.1784007012
194	0.1782163051
195	0.1780909454
196	0.1779673787
197	0.1778345496
198	0.1776620143
199	0.1775794488
200	0.1774620794
201	0.1773567573
202	0.1771231364
203	0.1770308203
204	0.1769259147
205	0.1768269574
206	0.1767588494
207	0.1766764208
208	0.1765545914
209	0.1764881494
210	0.1762476491
211	0.1760810528
212	0.1760035514
213	0.1757768267
214	0.1756405228
215	0.1754455728
216	0.1753571592
217	0.1751519824
218	0.1750722159
219	0.1748833683
220	0.1746892077
221	0.174616876
222	0.1745358014
223	0.1743238247
224	0.1742486435
225	0.1741341052
226	0.1740020022
227	0.1738995586
228	0.1738365619
229	0.1737612597
230	0.1736581154
231	0.1735653559
232	0.1734671596
233	0.1734047255
234	0.1733045601
235	0.1732336747
236	0.1730995177
237	0.1730326988
238	0.1729218909
239	0.1728372457
240	0.1727821852
241	0.1726421808
242	0.1725831942
243	0.1725143222
244	0.17244909
245	0.1723450498
246	0.1721848149
247	0.1720902757
248	0.1720123184
249	0.1719246299
250	0.171865319
251	0.1717192079
252	0.1716244118
253	0.1715841271
254	0.1714201816
255	0.1712839054
256	0.1712207689
257	0.1711673285
258	0.1710903286
259	0.171044746
260	0.1709432733
261	0.1708645963
262	0.170784521
263	0.1706659402
264	0.1705715628
265	0.1704573631
266	0.1703039383
267	0.1702279895
268	0.1701568259
269	0.1700971382
270	0.1700006943
271	0.1699351482
272	0.1697582125
273	0.169719935
274	0.1696488998
275	0.169564533
276	0.1694948119
277	0.1694272486
278	0.1693237399
279	0.1692857141
280	0.1692252856
281	0.1691670157
282	0.1691217422
283	0.1689828577
284	0.1689371416
285	0.168871093
286	0.1687813481
287	0.1687258513
288	0.1686822317
289	0.168517471
290	0.168442446
291	0.1683582448
292	0.1683163621
293	0.1681858694
294	0.1680375694
295	0.1679855102
296	0.1679272172
297	0.1678736226
298	0.1678345238
299	0.1677560073
300	0.1676815812
301	0.1676278329
302	0.1675782374
303	0.1674755965
304	0.1674045028
305	0.1673590572
306	0.1673049089
307	0.1672455891
308	0.1671766925
309	0.1670473671
310	0.1669812629
311	0.1668996182
312	0.166756708
313	0.1666641223
314	0.1666186143
315	0.1665495751
316	0.1664620314
317	0.1664197589
318	0.16634631
319	0.1662776134
320	0.1662137582
321	0.1661662289
322	0.1661027543
323	0.1660695988
324	0.1659723318
325	0.1659235599
326	0.16582662
327	0.1657242903
328	0.1656654044
329	0.165592236
330	0.1655267195
331	0.1654703404
332	0.1654262029
333	0.1653610761
334	0.1652960602
335	0.1652481016
336	0.1651585975
337	0.165105135
338	0.1650507949
339	0.1649961734
340	0.1649415809
341	0.1648670492
342	0.164795787
343	0.1647361014
344	0.1646583924
345	0.1646189184
346	0.1645770335
347	0.1644844436
348	0.1644429153
349	0.1644015586
350	0.1643505023
351	0.1642866396
352	0.1642211178
353	0.1641629271
354	0.1641214675
355	0.1640771925
356	0.1639564347
357	0.1638974097
358	0.1638111919
359	0.1637370783
360	0.1636893791
361	0.1636477541
362	0.1635939225
363	0.1635405122
364	0.163480485
365	0.1634450266
366	0.1633748067
367	0.163307581
368	0.1632224964
369	0.163191412
370	0.1631522176
371	0.1630871261
372	0.1630206817
373	0.1628864405
374	0.1628060693
375	0.1627015191
376	0.1626455427
377	0.1626129208
378	0.1625655722
379	0.1624779994
380	0.1624050922
381	0.1623369052
382	0.1622788348
383	0.1622279679
384	0.1621769301
385	0.1620922058
386	0.16204381
387	0.1619602311
388	0.1619233917
389	0.1618854241
390	0.1617970624
391	0.1617112415
392	0.1616697558
393	0.1616332897
394	0.1615976383
395	0.1615580993
396	0.1614651239
397	0.1614130483
398	0.1613713816
399	0.1612764285
400	0.1612326046
401	0.161169365
402	0.1611186178
403	0.1610537884
404	0.1610107443
405	0.1608996015
406	0.1608397046
407	0.1607841166
408	0.1606907312
409	0.1606587153
410	0.1605751637
411	0.1605414879
412	0.1604989803
413	0.1604415613
414	0.160375681
415	0.1603191861
416	0.1602770957
417	0.1602357584
418	0.1601691061
419	0.1601263785
420	0.1600835963
421	0.1600342963
422	0.1600104956
423	0.159981295
424	0.1599311769
425	0.1598499077
426	0.1597959031
427	0.1597414241
428	0.1596924309
429	0.1595910237
430	0.1594998302
431	0.1594614625
432	0.1593634341
433	0.1592840777
434	0.1592265286
435	0.1591721764
436	0.1591454665
437	0.1590901541
438	0.1590487316
439	0.1589734963
440	0.1589319664
441	0.1588590596
442	0.1588203918
443	0.158782555
444	0.1587323198
445	0.1586624317
446	0.1586281941
447	0.1585777755
448	0.1585320121
449	0.1585034915
450	0.1584634149
451	0.1584373471
452	0.158395734
453	0.158359688
454	0.1583323529
455	0.1582829987
456	0.1582398859
457	0.1582105575
458	0.1581674719
459	0.1581384173
460	0.1580954419
461	0.1580675209
462	0.1580382999
463	0.1579787464
464	0.1579496738
465	0.1579230776
466	0.1578636347
467	0.1578009592
468	0.1577448321
469	0.1576903473
470	0.1576508062
471	0.1576124328
472	0.157541413
473	0.1574865835
474	0.1574497404
475	0.1574035859
476	0.157366424
477	0.1573292254
478	0.1573023022
479	0.157268128
480	0.1572350375
481	0.1572072368
482	0.1571718372
483	0.1571261378
484	0.1570825369
485	0.157041465
486	0.1569984045
487	0.1569622696
488	0.1569238657
489	0.1568660742
490	0.1568403616
491	0.1568035412
492	0.1567501367
493	0.156673972
494	0.156640989
495	0.1565754314
496	0.1565241817
497	0.1564624426
498	0.1564138769
499	0.1563909262
500	0.1563451863
501	0.1563090678
502	0.1562462952
503	0.1562207081
504	0.1561801682
505	0.1561350741
506	0.1560835217
507	0.1560334057
508	0.1559926203
509	0.1559608663
510	0.1559285531
511	0.1558796271
512	0.1558584543
513	0.1558237705
514	0.1557979067
515	0.1557642545
516	0.1556823859
517	0.1556584934
518	0.1556343193
519	0.1555881365
520	0.1555462254
521	0.1555213251
522	0.1554906909
523	0.1554336457
524	0.1553949808
525	0.1553531046
526	0.1553305631
527	0.1553000379
528	0.1552528542
529	0.1552222597
530	0.1551833361
531	0.1551421664
532	0.1550842051
533	0.1550537589
534	0.1549860613
535	0.1549478647
536	0.1549045104
537	0.1548449099
538	0.1547971789
539	0.1547681808
540	0.1547162601
541	0.1546787594
542	0.1546378608
543	0.1546098392
544	0.1545711014
545	0.1545184875
546	0.1544848461
547	0.1544486701
548	0.154396866
549	0.1543656199
550	0.1542984231
551	0.154267244
552	0.1542411552
553	0.1542044011
554	0.1541790799
555	0.1541554536
556	0.1540910655
557	0.1540429461
558	0.1540077923
559	0.1539492844
560	0.1539098338
561	0.1538802149
562	0.1538507929
563	0.1538034562
564	0.1537590351
565	0.1536989992
566	0.1536580925
567	0.1536263516
568	0.1535700308
569	0.1534998936
570	0.1534617991
571	0.1534299799
572	0.1534046704
573	0.1533593673
574	0.1533309422
575	0.15329564
576	0.1532545423
577	0.1532231378
578	0.1532006787
579	0.1531554956
580	0.1531057979
581	0.1530841721
582	0.153063415
583	0.1530445435
584	0.1529898935
585	0.1529367935
586	0.1529004208
587	0.1528699733
588	0.1528378524
589	0.1528086266
590	0.1527872862
591	0.1527447993
592	0.1526929143
593	0.1526586935
594	0.1526373742
595	0.1526054128
596	0.1525820647
597	0.152514232
598	0.152486188
599	0.1524506038
600	0.1524194989
601	0.1523980358
602	0.1523671292
603	0.1523491967
604	0.15231518
605	0.1522668521
606	0.1522422244
607	0.1522125475
608	0.1521929757
609	0.152148048
610	0.1521152367
611	0.152093832
612	0.152066619
613	0.1520203245
614	0.151994425
615	0.1519446122
616	0.1519131244
617	0.1518553692
618	0.1518196335
619	0.1517987039
620	0.1517557843
621	0.1517100827
622	0.1516523319
623	0.1516155837
624	0.1515814525
625	0.1515578953
626	0.1515272074
627	0.1514928552
628	0.1514609772
629	0.1514381675
630	0.1513988038
631	0.1513444895
632	0.1513080035
633	0.1512769622
634	0.1512216582
635	0.1511950629
636	0.1511659312
637	0.1511324047
638	0.1511065494
639	0.151072867
640	0.151045848
641	0.1510141239
642	0.1509977814
643	0.1509696835
644	0.1509335451
645	0.1508948723
646	0.1508725259
647	0.1508271648
648	0.1507796443
649	0.1507483955
650	0.1507150578
651	0.1506917266
652	0.1506359085
653	0.150611102
654	0.1505918319
655	0.1505456733
656	0.1505066723
657	0.1504748708
658	0.1504324095
659	0.1503987789
660	0.1503738803
661	0.1503450338
662	0.1503034915
663	0.1502517753
664	0.150206015
665	0.1501429524
666	0.150103575
667	0.1500840083
668	0.1500627113
669	0.150018084
670	0.1499789814
671	0.1499432561
672	0.1499155678
673	0.1498980469
674	0.1498727149
675	0.1498404159
676	0.1498060368
677	0.149775134
678	0.149735777
679	0.149717211
680	0.1496951875
681	0.1496615071
682	0.1496296917
683	0.1495908718
684	0.1495647537
685	0.1495391849
686	0.1494953988
687	0.149474027
688	0.1494346047
689	0.1493999693
690	0.1493777442
691	0.1493547467
692	0.1492971085
693	0.1492775256
694	0.1492442378
695	0.1492275683
696	0.1492005111
697	0.1491825459
698	0.1491422934
699	0.1491164392
700	0.149091658
701	0.1490662489
702	0.1490321295
703	0.1489985106
704	0.1489784891
705	0.1489499103
706	0.1489270149
707	0.1488976553
708	0.1488666794
709	0.1488302446
710	0.1488077811
711	0.1487827595
712	0.1487494919
713	0.1487234666
714	0.1486933249
715	0.1486719954
716	0.1486360294
717	0.1485911082
718	0.148567425
719	0.1485506244
720	0.1485104719
721	0.1484813922
722	0.148461869
723	0.1484372066
724	0.1484099879
725	0.148394911
726	0.1483777735
727	0.1483311491
728	0.1482926399
729	0.1482536145
730	0.1482254877
731	0.1481840123
732	0.1481579471
733	0.1481391533
734	0.148107573
735	0.1480713176
736	0.1480315785
737	0.148012815
738	0.1479906962
739	0.147966444
740	0.1479179117
741	0.1479019089
742	0.1478742618
743	0.1478423519
744	0.1478193548
745	0.1477923245
746	0.1477456485
747	0.1477202411
748	0.1477034772
