iter	Passed	Remaining
0	164	164133
1	171	85370
2	184	61293
3	191	47760
4	199	39715
5	207	34368
6	215	30573
7	226	28129
8	235	25886
9	245	24278
10	253	22814
11	262	21613
12	274	20821
13	280	19769
14	287	18876
15	293	18030
16	299	17299
17	304	16622
18	310	16039
19	320	15682
20	341	15903
21	358	15931
22	371	15798
23	382	15547
24	400	15602
25	407	15266
26	419	15105
27	428	14863
28	437	14664
29	444	14370
30	451	14119
31	462	14005
32	472	13843
33	481	13680
34	490	13536
35	498	13344
36	507	13197
37	515	13050
38	520	12837
39	526	12647
40	534	12497
41	546	12469
42	554	12345
43	561	12194
44	570	12103
45	581	12061
46	590	11979
47	600	11909
48	611	11867
49	622	11820
50	632	11766
51	642	11711
52	653	11676
53	661	11597
54	669	11497
55	678	11435
56	691	11439
57	704	11442
58	714	11388
59	725	11372
60	733	11289
61	743	11251
62	749	11154
63	759	11104
64	767	11043
65	774	10964
66	784	10924
67	792	10860
68	800	10800
69	810	10764
70	817	10693
71	827	10659
72	834	10597
73	843	10559
74	850	10491
75	859	10450
76	864	10366
77	872	10307
78	882	10288
79	894	10290
80	904	10261
81	913	10223
82	923	10208
83	933	10175
84	946	10189
85	956	10169
86	968	10165
87	977	10131
88	987	10109
89	998	10098
90	1009	10088
91	1020	10070
92	1029	10044
93	1039	10022
94	1047	9983
95	1056	9949
96	1066	9925
97	1074	9887
98	1084	9871
99	1094	9848
100	1103	9824
101	1113	9801
102	1123	9788
103	1131	9751
104	1138	9704
105	1146	9672
106	1157	9660
107	1167	9644
108	1178	9631
109	1186	9599
110	1195	9574
111	1202	9533
112	1211	9508
113	1216	9456
114	1223	9417
115	1230	9378
116	1236	9330
117	1245	9309
118	1252	9273
119	1265	9277
120	1279	9295
121	1292	9304
122	1302	9285
123	1310	9258
124	1316	9217
125	1324	9188
126	1339	9208
127	1353	9219
128	1366	9225
129	1373	9194
130	1380	9154
131	1386	9117
132	1394	9090
133	1408	9100
134	1420	9098
135	1433	9104
136	1444	9096
137	1450	9059
138	1457	9028
139	1469	9025
140	1481	9023
141	1491	9009
142	1501	8998
143	1510	8977
144	1520	8964
145	1530	8953
146	1537	8921
147	1548	8917
148	1557	8896
149	1570	8897
150	1576	8864
151	1587	8854
152	1596	8838
153	1605	8819
154	1613	8794
155	1623	8781
156	1632	8764
157	1641	8746
158	1649	8726
159	1656	8696
160	1666	8682
161	1676	8670
162	1690	8679
163	1706	8701
164	1721	8711
165	1734	8712
166	1747	8715
167	1754	8691
168	1767	8692
169	1780	8694
170	1789	8675
171	1799	8663
172	1811	8660
173	1823	8654
174	1833	8644
175	1842	8625
176	1852	8614
177	1863	8604
178	1870	8581
179	1879	8561
180	1886	8533
181	1894	8514
182	1901	8490
183	1909	8467
184	1916	8443
185	1921	8410
